Age	Sex	Class	Survived
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Dead
Adult	Female	First	Dead
Adult	Female	First	Dead
Adult	Female	First	Dead
Child	Male	First	Alive
Child	Male	First	Alive
Child	Male	First	Alive
Child	Male	First	Alive
Child	Male	First	Alive
Child	Female	First	Dead
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Alive
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Male	Second	Dead
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Alive
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Adult	Female	Second	Dead
Child	Male	Second	Alive
Child	Male	Second	Alive
Child	Male	Second	Alive
Child	Male	Second	Alive
Child	Male	Second	Alive
Child	Male	Second	Alive
Child	Male	Second	Alive
Child	Male	Second	Alive
Child	Male	Second	Alive
Child	Male	Second	Alive
Child	Male	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Child	Female	Second	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Alive
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
Adult	Male	Third	Dead
